"time","rating","videoID"
2,50,"111_1"
4,50,"111_1"
6,49.875,"111_1"
8,35.8,"111_1"
10,32.8,"111_1"
12,32.8,"111_1"
14,32.8,"111_1"
16,32.8,"111_1"
18,49.175,"111_1"
20,64.975,"111_1"
22,67.9,"111_1"
24,71.975,"111_1"
26,72,"111_1"
28,73.025,"111_1"
30,73.3,"111_1"
32,73.3,"111_1"
34,73.3,"111_1"
36,73.3,"111_1"
38,75.15,"111_1"
40,78.3,"111_1"
42,78.3,"111_1"
44,78.3,"111_1"
46,78.3,"111_1"
48,78.3,"111_1"
50,78.3,"111_1"
52,78.3,"111_1"
54,78.825,"111_1"
56,79.3,"111_1"
58,80.875,"111_1"
60,83.675,"111_1"
62,85.275,"111_1"
64,87.3,"111_1"
66,87.3,"111_1"
68,87.3,"111_1"
70,87.3,"111_1"
72,81.55,"111_1"
74,65.075,"111_1"
76,58.35,"111_1"
78,58.3,"111_1"
80,58.3,"111_1"
82,58.3,"111_1"
84,58.3,"111_1"
86,58.3,"111_1"
88,58.3,"111_1"
90,58.3,"111_1"
92,58.3,"111_1"
94,58.2,"111_1"
96,48.525,"111_1"
98,42.7,"111_1"
100,42.7,"111_1"
102,38.675,"111_1"
104,37.5,"111_1"
106,37.5,"111_1"
108,37.5,"111_1"
110,36.05,"111_1"
112,21.275,"111_1"
114,6.75,"111_1"
116,6.7,"111_1"
118,5,"111_1"
120,3.2,"111_1"
122,3.2,"111_1"
124,3.2,"111_1"
126,3.2,"111_1"
128,3.2,"111_1"
130,3.2,"111_1"
132,10.875,"111_1"
134,21.55,"111_1"
136,19.05,"111_1"
138,4.375,"111_1"
140,3,"111_1"
142,3,"111_1"
144,3,"111_1"
146,3.525,"111_1"
148,3.8,"111_1"
150,3.8,"111_1"
152,3.8,"111_1"
154,3.8,"111_1"
156,3.8,"111_1"
158,3.8,"111_1"
160,6.475,"111_1"
162,2.575,"111_1"
164,0,"111_1"
166,2.375,"111_1"
168,0.05,"111_1"
170,0,"111_1"
172,0,"111_1"
174,0,"111_1"
176,0,"111_1"
178,0,"111_1"
180,0,"111_1"
182,0,"111_1"
184,0,"111_1"
186,0,"111_1"
188,0,"111_1"
190,0,"111_1"
192,0,"111_1"
194,0,"111_1"
196,0,"111_1"
198,0,"111_1"
200,0,"111_1"
202,0,"111_1"
204,0,"111_1"
206,0,"111_1"
208,0,"111_1"
210,0,"111_1"
212,0,"111_1"
214,0,"111_1"
216,0.025,"111_1"
218,5.5,"111_1"
220,20.875,"111_1"
222,28.6,"111_1"
224,30.8,"111_1"
226,30.8,"111_1"
228,30.8,"111_1"
230,30.8,"111_1"
232,30.8,"111_1"
234,30.8,"111_1"
236,30.8,"111_1"
238,31.8,"111_1"
240,67.775,"111_1"
242,99.725,"111_1"
244,100,"111_1"
2,50,"111_3"
4,50,"111_3"
6,50,"111_3"
8,50,"111_3"
10,50,"111_3"
12,50,"111_3"
14,50,"111_3"
16,67.2,"111_3"
18,77.55,"111_3"
20,80.2,"111_3"
22,80.2,"111_3"
24,80.2,"111_3"
26,80.2,"111_3"
28,80.2,"111_3"
30,80.2,"111_3"
32,80.2,"111_3"
34,80.2,"111_3"
36,80.2,"111_3"
38,84.375,"111_3"
40,98.5,"111_3"
42,100,"111_3"
44,100,"111_3"
46,100,"111_3"
48,96.35,"111_3"
50,89.55,"111_3"
52,95.375,"111_3"
54,97.7,"111_3"
56,97.7,"111_3"
58,97.7,"111_3"
60,93.35,"111_3"
62,69.9,"111_3"
64,69.5,"111_3"
66,69.5,"111_3"
68,69.5,"111_3"
70,65.975,"111_3"
72,61.8,"111_3"
74,61.8,"111_3"
76,65.025,"111_3"
78,67.6,"111_3"
80,71.3,"111_3"
82,71.3,"111_3"
84,71.3,"111_3"
86,71.3,"111_3"
88,71.3,"111_3"
90,72.8,"111_3"
92,73.2,"111_3"
94,73.2,"111_3"
96,71.975,"111_3"
98,69,"111_3"
100,69,"111_3"
102,69,"111_3"
104,69,"111_3"
106,69,"111_3"
108,69,"111_3"
110,69,"111_3"
112,69,"111_3"
114,69,"111_3"
116,69,"111_3"
118,63.05,"111_3"
120,56.5,"111_3"
122,56.8,"111_3"
124,61.7,"111_3"
126,69.375,"111_3"
128,65.6,"111_3"
130,59.2,"111_3"
132,59.2,"111_3"
134,59.2,"111_3"
136,59.2,"111_3"
138,59.2,"111_3"
140,59.2,"111_3"
142,63.225,"111_3"
144,65.2,"111_3"
146,65.2,"111_3"
148,65.2,"111_3"
150,65.2,"111_3"
152,65.2,"111_3"
154,65.2,"111_3"
156,65.2,"111_3"
158,65.2,"111_3"
160,65.2,"111_3"
162,65.2,"111_3"
