"time","rating","videoID"
2,50,"116_5"
4,65.075,"116_5"
6,84.925,"116_5"
8,86.2,"116_5"
10,86.2,"116_5"
12,86.2,"116_5"
14,86.2,"116_5"
16,86.2,"116_5"
18,86.2,"116_5"
20,86.2,"116_5"
22,86.2,"116_5"
24,86.2,"116_5"
26,86.2,"116_5"
28,86.2,"116_5"
30,86.2,"116_5"
32,86.2,"116_5"
34,86.2,"116_5"
36,86.2,"116_5"
38,86.2,"116_5"
40,86.2,"116_5"
42,86.2,"116_5"
44,80.975,"116_5"
46,66.475,"116_5"
48,65,"116_5"
50,65,"116_5"
52,65,"116_5"
54,65,"116_5"
56,65,"116_5"
58,65.275,"116_5"
60,89.425,"116_5"
62,92.2,"116_5"
64,92.2,"116_5"
66,92.2,"116_5"
68,90.525,"116_5"
70,64.5,"116_5"
72,52.475,"116_5"
74,56.975,"116_5"
76,60.275,"116_5"
78,54,"116_5"
80,37.975,"116_5"
82,31.775,"116_5"
84,44.7,"116_5"
86,56.9,"116_5"
88,58.2,"116_5"
90,58.2,"116_5"
92,58.2,"116_5"
94,58.2,"116_5"
96,58.2,"116_5"
2,71.05,"118_3"
4,67.075,"118_3"
6,59.55,"118_3"
8,36.375,"118_3"
10,28.975,"118_3"
12,26.875,"118_3"
14,7.8,"118_3"
16,7.8,"118_3"
18,7.8,"118_3"
20,7.75,"118_3"
22,7.7,"118_3"
24,7.7,"118_3"
26,7.7,"118_3"
28,7.7,"118_3"
30,7.7,"118_3"
32,7.7,"118_3"
34,7.825,"118_3"
36,8.675,"118_3"
38,8.7,"118_3"
40,8.7,"118_3"
42,8.7,"118_3"
44,11.5,"118_3"
46,12.7,"118_3"
48,12.7,"118_3"
50,12.7,"118_3"
52,12.7,"118_3"
54,12.775,"118_3"
56,12.775,"118_3"
58,12.8,"118_3"
60,12.575,"118_3"
62,8.975,"118_3"
64,25.575,"118_3"
66,25.65,"118_3"
68,22.675,"118_3"
70,22.325,"118_3"
72,22.3,"118_3"
74,22.3,"118_3"
76,24.75,"118_3"
78,42.2,"118_3"
80,42.3,"118_3"
82,41.775,"118_3"
84,47.275,"118_3"
86,48.8,"118_3"
88,42.75,"118_3"
90,40,"118_3"
92,40,"118_3"
94,40,"118_3"
96,40.6,"118_3"
98,43.975,"118_3"
100,44,"118_3"
102,34.7,"118_3"
104,30.4,"118_3"
106,27.525,"118_3"
108,32.525,"118_3"
110,41.15,"118_3"
2,44.9,"119_4"
4,44.7,"119_4"
6,44.7,"119_4"
8,44.225,"119_4"
10,42.325,"119_4"
12,42.2,"119_4"
14,42.2,"119_4"
16,42.2,"119_4"
18,42.2,"119_4"
20,41.775,"119_4"
22,38.225,"119_4"
24,35,"119_4"
26,35,"119_4"
28,35,"119_4"
30,35,"119_4"
32,35,"119_4"
34,35,"119_4"
36,35,"119_4"
38,35,"119_4"
40,35,"119_4"
42,34.525,"119_4"
44,30.225,"119_4"
46,30.2,"119_4"
48,30.2,"119_4"
50,30.2,"119_4"
52,30.2,"119_4"
54,30.2,"119_4"
56,30.2,"119_4"
58,30.2,"119_4"
60,30.2,"119_4"
62,30.2,"119_4"
