"participantID","videoID","order","condition","comprehensionCheckQ1Correct","comprehensionCheckQ2Correct","accuracy","IRI_EC","IRI_PT","IRI_PD","LT_Empathy","SPS","SIAS","gender","age"
"f452b20d","128_2",1,"both",TRUE,TRUE,0.750390585631626,23,22,22,10,68,62,"F",22
"72349a54","181_2",1,"both",TRUE,TRUE,0.777927052550708,24,20,17,12,21,43,"F",36
"b38d5b49","173_4",1,"both",TRUE,TRUE,0.611283367199352,25,24,12,12,40,63,"M",25
"dc89084a","128_2",1,"both",TRUE,TRUE,0.869167280566112,28,28,3,15,0,5,"F",43
"7411a245","161_3",1,"both",TRUE,TRUE,0.729028670890611,14,13,18,15,54,63,"M",18
"0635b8fb","124_3",1,"both",FALSE,TRUE,0.6796186688329,27,19,7,8,6,16,"M",42
"87ac0eaa","174_3",1,"both",TRUE,TRUE,0.732758047655421,25,21,11,12,39,63,"M",48
"38b73aae","153_3",1,"both",TRUE,FALSE,0.841560979960888,12,13,8,9,26,15,"M",33
"064a309a","116_5",1,"both",TRUE,TRUE,0.137308862905992,28,21,12,14,34,40,"F",39
"45de46aa","121_5",1,"both",TRUE,TRUE,0.77053212300905,21,21,12,12,4,6,"M",39
"01313695","170_2",1,"both",TRUE,TRUE,-0.707267021352013,28,18,12,12,38,42,"F",42
"fb92ea54","151_2",1,"both",TRUE,TRUE,0.954241525311896,28,20,7,11,12,24,"F",46
"8194d337","128_2",1,"both",TRUE,TRUE,0.835695980589289,20,17,7,12,15,24,"M",29
"301fcf0a","178_6",1,"both",TRUE,TRUE,0.170300853912317,20,24,6,12,15,15,"F",42
"aeb528c0","137_6",1,"both",TRUE,TRUE,0.0930390836123952,24,28,4,12,32,28,"M",28
"0a66471b","170_2",1,"both",TRUE,TRUE,-0.0999377210584085,25,22,0,12,3,5,"M",30
"d264a4f6","178_6",1,"both",TRUE,TRUE,0.366722574256313,21,17,5,14,3,14,"F",24
"95d1b534","147_2",1,"both",FALSE,TRUE,0.275684134912957,13,20,6,13,28,36,"M",24
"c224f9a6","161_3",1,"both",TRUE,TRUE,0.831121144240563,27,22,18,12,63,65,"M",33
"308b7f75","129_2",1,"both",TRUE,TRUE,0.105758576776826,28,28,22,10,6,8,"F",36
"675885cb","174_3",1,"both",TRUE,TRUE,0.819282730838151,17,16,11,15,4,8,"M",24
"5046eb0a","116_5",1,"both",TRUE,TRUE,-0.370558920042441,22,11,5,9,3,17,"F",37
"039ee76c","124_3",1,"both",TRUE,TRUE,0.577134644251221,21,23,14,13,29,38,"F",36
"73b586a9","147_5",1,"both",TRUE,TRUE,-0.403793626648572,21,20,10,10,44,41,"F",32
"b6335f9b","174_3",1,"both",TRUE,TRUE,0.818986687403836,28,26,2,12,8,15,"M",26
"7d66737a","181_4",1,"both",TRUE,TRUE,0.648412909186006,28,26,19,12,50,74,"F",24
"cbfce7ed","181_2",1,"both",TRUE,TRUE,0.592488094619763,18,20,9,9,28,55,"F",33
"89acd875","161_3",1,"both",TRUE,TRUE,0.894742682928045,20,20,16,12,44,51,"M",47
"8ecc8c38","116_5",1,"both",FALSE,TRUE,-0.0839438365405582,14,14,14,12,40,40,"M",34
"9ba31e4c","173_4",1,"both",TRUE,TRUE,-0.043130929130321,27,27,4,10,40,65,"F",27
"b7226578","147_2",1,"both",FALSE,TRUE,0.224948366625741,27,25,6,12,49,31,"F",29
"0f85e59e","116_5",1,"both",FALSE,TRUE,0.0938313708324565,13,6,24,10,50,55,"F",58
"16017909","121_5",1,"both",TRUE,TRUE,0.815534659884447,12,13,13,14,14,39,"F",42
"e0cb3965","116_5",1,"both",FALSE,TRUE,0.0668963938880248,28,21,5,12,30,42,"M",40
"443e51bc","124_3",1,"both",TRUE,TRUE,0.479190200452741,24,25,16,12,42,51,"M",28
"8d252810","147_5",1,"both",TRUE,TRUE,0.0503484686594309,6,0,0,8,0,6,"F",40
"852214da","137_6",1,"both",FALSE,TRUE,0.561464018380818,22,6,19,12,23,34,"F",29
"d5f55185","116_5",1,"both",TRUE,TRUE,0.413633273714129,19,20,7,12,7,16,"F",37
"22a4517b","173_4",1,"both",TRUE,TRUE,0.300453736693011,21,16,23,14,52,65,"F",25
"661c2c3d","167_2",1,"both",TRUE,TRUE,0.288993765365609,9,12,3,12,22,41,"M",67
"1df54295","147_2",1,"both",TRUE,TRUE,0.126256706111805,24,20,13,12,9,30,"F",45
"fc1193f1","124_3",1,"both",TRUE,TRUE,0.195878785637724,20,22,5,13,4,7,"M",26
"5cb6d34e","181_4",1,"both",TRUE,TRUE,0.75847280705595,9,12,25,9,61,64,"M",40
"a930edea","116_5",1,"both",TRUE,TRUE,0.143136335351618,22,26,12,10,22,31,"M",30
"8b4c95e1","181_2",1,"both",TRUE,TRUE,0.896447293190538,8,16,8,11,61,33,"M",35
"908a8fcb","153_3",1,"both",TRUE,TRUE,0.259115726858569,28,28,6,12,52,60,"F",25
"02aeb27d","173_6",1,"both",TRUE,TRUE,0.844187034989206,15,18,12,12,31,27,"M",27
"ca966692","153_3",1,"both",TRUE,TRUE,0.867896780713414,27,22,9,12,40,46,"M",33
"43089a32","135_3",1,"both",TRUE,TRUE,0.703638808058197,17,21,17,12,13,36,"F",35
"37946b93","161_3",1,"both",TRUE,TRUE,0.466246467395645,28,28,2,13,5,5,"F",25
"e6765d83","129_5",1,"both",TRUE,TRUE,0.253883011686844,24,28,2,7,6,9,"F",39
"b443900b","151_2",1,"both",TRUE,TRUE,0.8852149191599,18,27,14,12,60,49,NA,28
