"time","rating","videoID"
2,50,"HID53_vid2"
4,50.525,"HID53_vid2"
6,51.425,"HID53_vid2"
8,45.95,"HID53_vid2"
10,45.45,"HID53_vid2"
12,49.675,"HID53_vid2"
14,53.55,"HID53_vid2"
16,55.45,"HID53_vid2"
18,56.775,"HID53_vid2"
20,59.625,"HID53_vid2"
22,59.9,"HID53_vid2"
24,61.8,"HID53_vid2"
26,62.525,"HID53_vid2"
28,64.325,"HID53_vid2"
30,58.65,"HID53_vid2"
32,48.325,"HID53_vid2"
34,45.65,"HID53_vid2"
36,45.4,"HID53_vid2"
38,46.95,"HID53_vid2"
40,48.625,"HID53_vid2"
42,52.75,"HID53_vid2"
44,57.4,"HID53_vid2"
46,45.625,"HID53_vid2"
48,46.7,"HID53_vid2"
50,49.1,"HID53_vid2"
52,50.275,"HID53_vid2"
54,50.875,"HID53_vid2"
56,52,"HID53_vid2"
58,52.6,"HID53_vid2"
60,55.175,"HID53_vid2"
62,58.05,"HID53_vid2"
64,58.575,"HID53_vid2"
66,56.9,"HID53_vid2"
68,57.925,"HID53_vid2"
70,58.325,"HID53_vid2"
72,58.975,"HID53_vid2"
74,60.1,"HID53_vid2"
76,60.45,"HID53_vid2"
78,62.325,"HID53_vid2"
80,64.4,"HID53_vid2"
82,62.55,"HID53_vid2"
84,66.15,"HID53_vid2"
86,69.15,"HID53_vid2"
88,69.85,"HID53_vid2"
90,73.475,"HID53_vid2"
92,76.45,"HID53_vid2"
94,76.7,"HID53_vid2"
96,77.9,"HID53_vid2"
98,77.5,"HID53_vid2"
100,78.875,"HID53_vid2"
102,80.375,"HID53_vid2"
104,80.925,"HID53_vid2"
106,80.4,"HID53_vid2"
108,63.875,"HID53_vid2"
110,52.225,"HID53_vid2"
112,56.425,"HID53_vid2"
114,64.35,"HID53_vid2"
116,69.225,"HID53_vid2"
118,70.7,"HID53_vid2"
120,78.8,"HID53_vid2"
122,78.475,"HID53_vid2"
124,78.7,"HID53_vid2"
126,78.7,"HID53_vid2"
128,78.7,"HID53_vid2"
130,78.275,"HID53_vid2"
132,81.55,"HID53_vid2"
134,82.8,"HID53_vid2"
136,84.4,"HID53_vid2"
138,86.8,"HID53_vid2"
140,86.8,"HID53_vid2"
142,87.85,"HID53_vid2"
144,89.075,"HID53_vid2"
146,94.15,"HID53_vid2"
148,94.3,"HID53_vid2"
150,92.55,"HID53_vid2"
152,91.5,"HID53_vid2"
154,91.15,"HID53_vid2"
156,89.775,"HID53_vid2"
158,95.2,"HID53_vid2"
160,99.65,"HID53_vid2"
162,98.3,"HID53_vid2"
164,94.925,"HID53_vid2"
166,92.275,"HID53_vid2"
168,93.05,"HID53_vid2"
170,95.075,"HID53_vid2"
172,97.425,"HID53_vid2"
174,97.7,"HID53_vid2"
2,50,"HID101_vid2"
4,50,"HID101_vid2"
6,50,"HID101_vid2"
8,50,"HID101_vid2"
10,50,"HID101_vid2"
12,48.55,"HID101_vid2"
14,48,"HID101_vid2"
16,48,"HID101_vid2"
18,48,"HID101_vid2"
20,48,"HID101_vid2"
22,48,"HID101_vid2"
24,48,"HID101_vid2"
26,48,"HID101_vid2"
28,48,"HID101_vid2"
30,47,"HID101_vid2"
32,46,"HID101_vid2"
34,46,"HID101_vid2"
36,45,"HID101_vid2"
38,44,"HID101_vid2"
40,44,"HID101_vid2"
42,44,"HID101_vid2"
44,44,"HID101_vid2"
46,44,"HID101_vid2"
48,43.25,"HID101_vid2"
50,43,"HID101_vid2"
52,43,"HID101_vid2"
54,43,"HID101_vid2"
56,43,"HID101_vid2"
58,43,"HID101_vid2"
60,43,"HID101_vid2"
62,43,"HID101_vid2"
64,41.3,"HID101_vid2"
66,42.75,"HID101_vid2"
68,42,"HID101_vid2"
70,37.85,"HID101_vid2"
72,38,"HID101_vid2"
74,38,"HID101_vid2"
76,38,"HID101_vid2"
78,38,"HID101_vid2"
80,38,"HID101_vid2"
82,37.25,"HID101_vid2"
84,37,"HID101_vid2"
86,37,"HID101_vid2"
88,37,"HID101_vid2"
90,37,"HID101_vid2"
92,37,"HID101_vid2"
94,37,"HID101_vid2"
96,36.55,"HID101_vid2"
98,36,"HID101_vid2"
100,36,"HID101_vid2"
102,36,"HID101_vid2"
104,36,"HID101_vid2"
106,35.05,"HID101_vid2"
108,35,"HID101_vid2"
110,35,"HID101_vid2"
112,34.5,"HID101_vid2"
114,33.75,"HID101_vid2"
116,33,"HID101_vid2"
118,33,"HID101_vid2"
120,32.8,"HID101_vid2"
122,32,"HID101_vid2"
124,32,"HID101_vid2"
126,31.25,"HID101_vid2"
128,33.75,"HID101_vid2"
130,33.8,"HID101_vid2"
132,33,"HID101_vid2"
134,30.5,"HID101_vid2"
136,30.25,"HID101_vid2"
138,31.75,"HID101_vid2"
140,33,"HID101_vid2"
142,33.7,"HID101_vid2"
144,34,"HID101_vid2"
146,34,"HID101_vid2"
148,34,"HID101_vid2"
150,34,"HID101_vid2"
152,34,"HID101_vid2"
154,34,"HID101_vid2"
156,34,"HID101_vid2"
158,34,"HID101_vid2"
160,34,"HID101_vid2"
162,34.5,"HID101_vid2"
164,30.55,"HID101_vid2"
166,25.75,"HID101_vid2"
168,25,"HID101_vid2"
170,25,"HID101_vid2"
2,50,"HID107_vid4"
4,50,"HID107_vid4"
6,50,"HID107_vid4"
8,53.375,"HID107_vid4"
10,59,"HID107_vid4"
12,59,"HID107_vid4"
14,59,"HID107_vid4"
16,59,"HID107_vid4"
18,47.425,"HID107_vid4"
20,43,"HID107_vid4"
22,43,"HID107_vid4"
24,43,"HID107_vid4"
26,43,"HID107_vid4"
28,43,"HID107_vid4"
30,43,"HID107_vid4"
32,43,"HID107_vid4"
34,43,"HID107_vid4"
36,43,"HID107_vid4"
38,43,"HID107_vid4"
40,43,"HID107_vid4"
42,43,"HID107_vid4"
44,43,"HID107_vid4"
46,43,"HID107_vid4"
48,43,"HID107_vid4"
50,43,"HID107_vid4"
52,43,"HID107_vid4"
54,43,"HID107_vid4"
56,43,"HID107_vid4"
58,43,"HID107_vid4"
60,43,"HID107_vid4"
62,43,"HID107_vid4"
64,43,"HID107_vid4"
66,43,"HID107_vid4"
68,43,"HID107_vid4"
70,43,"HID107_vid4"
72,43,"HID107_vid4"
74,43,"HID107_vid4"
76,43,"HID107_vid4"
78,43,"HID107_vid4"
80,43,"HID107_vid4"
82,43,"HID107_vid4"
84,43,"HID107_vid4"
86,66.35,"HID107_vid4"
88,67,"HID107_vid4"
90,67,"HID107_vid4"
92,67,"HID107_vid4"
94,67,"HID107_vid4"
96,67,"HID107_vid4"
98,67,"HID107_vid4"
100,67,"HID107_vid4"
102,67,"HID107_vid4"
104,67,"HID107_vid4"
106,67,"HID107_vid4"
108,67,"HID107_vid4"
110,67,"HID107_vid4"
112,67,"HID107_vid4"
114,67,"HID107_vid4"
116,67,"HID107_vid4"
118,67,"HID107_vid4"
120,67,"HID107_vid4"
122,67,"HID107_vid4"
124,67,"HID107_vid4"
126,67,"HID107_vid4"
128,67,"HID107_vid4"
130,67,"HID107_vid4"
132,67,"HID107_vid4"
134,67,"HID107_vid4"
136,67,"HID107_vid4"
138,67,"HID107_vid4"
140,67,"HID107_vid4"
142,67,"HID107_vid4"
144,67,"HID107_vid4"
146,67,"HID107_vid4"
148,67,"HID107_vid4"
150,67,"HID107_vid4"
152,67,"HID107_vid4"
154,67,"HID107_vid4"
156,67,"HID107_vid4"
158,67,"HID107_vid4"
160,67,"HID107_vid4"
162,67,"HID107_vid4"
164,67,"HID107_vid4"
166,67,"HID107_vid4"
168,67,"HID107_vid4"
170,67,"HID107_vid4"
2,50,"HID112_vid4"
4,50,"HID112_vid4"
6,50,"HID112_vid4"
8,50,"HID112_vid4"
10,50,"HID112_vid4"
12,50,"HID112_vid4"
14,49.75,"HID112_vid4"
16,45,"HID112_vid4"
18,44,"HID112_vid4"
20,42.5,"HID112_vid4"
22,42,"HID112_vid4"
24,42,"HID112_vid4"
26,42,"HID112_vid4"
28,42,"HID112_vid4"
30,42,"HID112_vid4"
32,42,"HID112_vid4"
34,42,"HID112_vid4"
36,42,"HID112_vid4"
38,37.525,"HID112_vid4"
40,37,"HID112_vid4"
42,37,"HID112_vid4"
44,37,"HID112_vid4"
46,37,"HID112_vid4"
48,34.025,"HID112_vid4"
50,31,"HID112_vid4"
52,31,"HID112_vid4"
54,31,"HID112_vid4"
56,31,"HID112_vid4"
58,31,"HID112_vid4"
60,31,"HID112_vid4"
62,31,"HID112_vid4"
64,31,"HID112_vid4"
66,31,"HID112_vid4"
68,31,"HID112_vid4"
70,31,"HID112_vid4"
72,31,"HID112_vid4"
74,31,"HID112_vid4"
76,31,"HID112_vid4"
78,31,"HID112_vid4"
80,31,"HID112_vid4"
82,31,"HID112_vid4"
84,31,"HID112_vid4"
86,30.05,"HID112_vid4"
88,28,"HID112_vid4"
90,28,"HID112_vid4"
92,28,"HID112_vid4"
94,28,"HID112_vid4"
96,28,"HID112_vid4"
98,28,"HID112_vid4"
100,28,"HID112_vid4"
102,28,"HID112_vid4"
104,28,"HID112_vid4"
106,28,"HID112_vid4"
108,28,"HID112_vid4"
110,28,"HID112_vid4"
112,28,"HID112_vid4"
114,28,"HID112_vid4"
116,28,"HID112_vid4"
118,28,"HID112_vid4"
120,28,"HID112_vid4"
122,28,"HID112_vid4"
124,28,"HID112_vid4"
126,28,"HID112_vid4"
128,28,"HID112_vid4"
130,28,"HID112_vid4"
132,53.25,"HID112_vid4"
134,65,"HID112_vid4"
136,65,"HID112_vid4"
2,50,"HID114_vid4"
4,50,"HID114_vid4"
6,54.75,"HID114_vid4"
8,56,"HID114_vid4"
10,57,"HID114_vid4"
12,57,"HID114_vid4"
14,57.75,"HID114_vid4"
16,58,"HID114_vid4"
18,58,"HID114_vid4"
20,57.5,"HID114_vid4"
22,55.25,"HID114_vid4"
24,56,"HID114_vid4"
26,57,"HID114_vid4"
28,55.025,"HID114_vid4"
30,54,"HID114_vid4"
32,54,"HID114_vid4"
34,54,"HID114_vid4"
36,55.25,"HID114_vid4"
38,56,"HID114_vid4"
40,57,"HID114_vid4"
42,56.75,"HID114_vid4"
44,58.5,"HID114_vid4"
46,61,"HID114_vid4"
48,61.95,"HID114_vid4"
50,67,"HID114_vid4"
52,67.75,"HID114_vid4"
54,68.75,"HID114_vid4"
56,68.75,"HID114_vid4"
58,69,"HID114_vid4"
60,69,"HID114_vid4"
62,67.525,"HID114_vid4"
64,57.55,"HID114_vid4"
66,55.525,"HID114_vid4"
68,57.95,"HID114_vid4"
