"participantID","videoID","order","condition","accuracy","IRI_EC","IRI_PT","IRI_PD","gender","age"
"22a6f949","HID112_vid4",1,NA,NA,16,18,12,"M",22
"c6b13398","HID114_vid4",1,"videoOnly",0.335939025923227,0,14,0,"M",38
"541494f4","HID107_vid4",1,"videoOnly",0.411471340124271,28,23,14,"M",28
"7d9d571c","HID112_vid4",1,"videoOnly",0.380883050149144,26,13,0,"F",52
"cd3aa500","HID112_vid4",1,"videoOnly",-0.161185943012893,21,23,9,"M",32
"7a928c6e","HID112_vid4",1,NA,NA,16,15,14,"M",36
"413b2af6","HID114_vid4",1,NA,NA,16,11,11,"M",28
"8ccee626","HID112_vid4",1,"videoOnly",-0.323599503748667,25,24,7,"M",26
"d7871237","HID114_vid4",1,"videoOnly",0.345163556419189,19,19,3,"M",45
"6ef6615b","HID114_vid4",1,"videoOnly",0.389567088158888,16,26,6,"M",22
"0fef6d85","HID107_vid4",1,NA,NA,23,22,5,"M",38
"bfafaf81","HID112_vid4",1,"videoOnly",-0.209629368895969,28,11,16,"F",38
"5146a4da","HID112_vid4",1,NA,NA,22,18,11,"M",30
"bafb206b","HID107_vid4",1,NA,NA,20,21,14,"M",48
"209261bc","HID114_vid4",1,"videoOnly",0.543800016073282,22,21,9,"M",49
"6aafde3c","HID112_vid4",1,"videoOnly",-0.0954529256554985,14,20,4,"M",24
"81d0338d","HID107_vid4",1,"videoOnly",0.397322019778636,28,28,0,"M",34
"bf8bbc0b","HID112_vid4",1,"videoOnly",-0.0834052354361084,28,28,12,"F",40
"0d520fdc","HID112_vid4",1,NA,NA,11,13,13,"M",23
"51411933","HID114_vid4",1,NA,NA,24,24,4,"M",31
"88ac2022","HID107_vid4",1,"videoOnly",0.720417616430217,28,28,17,"M",25
"d0fa54d1","HID114_vid4",1,"videoOnly",0.756802422625345,7,17,7,"M",30
"7c322b43","HID112_vid4",1,"videoOnly",-0.522736258838565,20,22,0,"F",36
"4cf25609","HID114_vid4",1,"videoOnly",0.572786814977961,20,17,17,"F",27
"cd1ad467","HID112_vid4",1,"videoOnly",-0.415150132994512,28,28,0,"M",27
"27225aa8","HID114_vid4",1,"videoOnly",0.174027059645902,22,20,23,"M",25
"a0863083","HID112_vid4",1,"videoOnly",0.442809688424628,12,18,5,"M",29
"28d84a76","HID112_vid4",1,"videoOnly",0.112210311972276,19,16,6,"M",30
"3531e364","HID107_vid4",1,"videoOnly",0.364475022048607,23,20,20,"F",28
"e770789b","HID112_vid4",1,"videoOnly",0.472213286255058,23,17,16,"F",26
"2acf8a40","HID112_vid4",1,"videoOnly",-0.101323625489804,19,21,2,"M",38
"dc735050","HID112_vid4",1,"videoOnly",-0.403784146647022,25,16,15,"M",39
"568926a2","HID107_vid4",1,NA,NA,20,20,21,"F",20
"7a099c94","HID112_vid4",1,"videoOnly",-0.521490914307691,19,22,5,"M",34
"9e2e6e80","HID112_vid4",1,"videoOnly",-0.18810255646593,28,24,4,"M",42
"e3ac9612","HID107_vid4",1,"videoOnly",0.43495621967509,24,23,6,"M",39
"f4961b63","HID114_vid4",1,"videoOnly",0.645795773282619,17,23,7,"M",64
"b3785a66","HID107_vid4",1,"videoOnly",-0.296142913990416,15,13,12,"M",24
"dd3dad4d","HID112_vid4",1,"videoOnly",0.170251396431439,26,18,2,"M",52
"bfe28db2","HID114_vid4",1,"videoOnly",0.160690046356049,26,26,10,"F",29
"94c0a203","HID112_vid4",1,"videoOnly",-0.295528486748815,22,19,21,"F",24
"99013242","HID114_vid4",1,"videoOnly",-0.09373227884972,21,24,26,"M",34
"29cdd9f5","HID107_vid4",1,NA,NA,25,19,1,"M",217
"c929c27a","HID114_vid4",1,NA,NA,28,8,28,"F",37
"1ebd1611","HID114_vid4",1,"videoOnly",0.267632117004186,17,16,16,"M",37
"99951d28","HID112_vid4",1,"videoOnly",-0.584693446106883,28,28,14,"M",41
"b17092b4","HID112_vid4",1,"videoOnly",0.0460827146654249,14,17,18,"M",30
"ffb759ab","HID107_vid4",1,"videoOnly",-0.140975243355341,19,21,9,"M",39
"e5f266aa","HID107_vid4",1,"videoOnly",0.507144944024907,25,28,8,"M",29
"7ac0a78e","HID114_vid4",1,"videoOnly",0.425961034090254,23,22,26,"F",36
"43fe99d7","HID112_vid4",1,"videoOnly",0.605349264959911,18,10,4,"M",33
"653f3c0a","HID112_vid4",1,"videoOnly",0.651501942206789,19,18,14,"M",23
"8a0cf46d","HID112_vid4",1,NA,NA,25,21,12,"F",27
"ea373622","HID107_vid4",1,"videoOnly",0.710436811051252,6,12,2,"M",32
"27fd140c","HID114_vid4",1,"videoOnly",0.589459357552255,26,20,21,"F",24
