"time","videoID","condition","participantID","rating"
2,"053v2","both","301",50
4,"053v2","both","301",49.5
6,"053v2","both","301",48
8,"053v2","both","301",48
10,"053v2","both","301",47
12,"053v2","both","301",47
14,"053v2","both","301",43.25
16,"053v2","both","301",43
18,"053v2","both","301",42.75
20,"053v2","both","301",41.5
22,"053v2","both","301",41
24,"053v2","both","301",40.25
26,"053v2","both","301",40
28,"053v2","both","301",39.75
30,"053v2","both","301",37.5
32,"053v2","both","301",35.75
34,"053v2","both","301",33.5
36,"053v2","both","301",31
38,"053v2","both","301",31
40,"053v2","both","301",31
42,"053v2","both","301",31
44,"053v2","both","301",31
46,"053v2","both","301",30.25
48,"053v2","both","301",28.75
50,"053v2","both","301",28
52,"053v2","both","301",27
54,"053v2","both","301",25.5
56,"053v2","both","301",27.25
58,"053v2","both","301",31
60,"053v2","both","301",34.75
62,"053v2","both","301",43.25
64,"053v2","both","301",54.75
66,"053v2","both","301",63.75
68,"053v2","both","301",69.25
70,"053v2","both","301",71.75
72,"053v2","both","301",75.75
74,"053v2","both","301",77
76,"053v2","both","301",68
78,"053v2","both","301",55.75
80,"053v2","both","301",47.25
82,"053v2","both","301",43.25
84,"053v2","both","301",42.75
86,"053v2","both","301",41
88,"053v2","both","301",41
90,"053v2","both","301",44.25
92,"053v2","both","301",53.25
94,"053v2","both","301",49.25
96,"053v2","both","301",54.75
98,"053v2","both","301",54.75
100,"053v2","both","301",45.25
102,"053v2","both","301",40.5
104,"053v2","both","301",39
106,"053v2","both","301",37.5
108,"053v2","both","301",35.5
110,"053v2","both","301",35
112,"053v2","both","301",35
114,"053v2","both","301",35.5
116,"053v2","both","301",39.25
118,"053v2","both","301",44.5
120,"053v2","both","301",44
122,"053v2","both","301",39
124,"053v2","both","301",35.5
126,"053v2","both","301",33.75
128,"053v2","both","301",40.75
130,"053v2","both","301",52.5
132,"053v2","both","301",60.75
134,"053v2","both","301",67.5
136,"053v2","both","301",69.75
138,"053v2","both","301",71.75
140,"053v2","both","301",75.25
142,"053v2","both","301",79.25
144,"053v2","both","301",81
146,"053v2","both","301",80.5
148,"053v2","both","301",80
150,"053v2","both","301",83.25
152,"053v2","both","301",84
154,"053v2","both","301",84
156,"053v2","both","301",84
158,"053v2","both","301",84.5
160,"053v2","both","301",87.5
162,"053v2","both","301",89
164,"053v2","both","301",89.75
166,"053v2","both","301",91.5
168,"053v2","both","301",92
2,"053v2","both","304",52.5
4,"053v2","both","304",48.5
6,"053v2","both","304",28
8,"053v2","both","304",28
10,"053v2","both","304",28
12,"053v2","both","304",28
14,"053v2","both","304",28
16,"053v2","both","304",28
18,"053v2","both","304",28
20,"053v2","both","304",28
22,"053v2","both","304",28
24,"053v2","both","304",28
26,"053v2","both","304",28
28,"053v2","both","304",28
30,"053v2","both","304",28
32,"053v2","both","304",28
34,"053v2","both","304",28
36,"053v2","both","304",28
38,"053v2","both","304",28
40,"053v2","both","304",28
42,"053v2","both","304",28
44,"053v2","both","304",28
46,"053v2","both","304",28
48,"053v2","both","304",28
50,"053v2","both","304",28
52,"053v2","both","304",31.75
54,"053v2","both","304",35.25
56,"053v2","both","304",35.25
58,"053v2","both","304",33
60,"053v2","both","304",33.75
62,"053v2","both","304",43.5
64,"053v2","both","304",60.25
66,"053v2","both","304",57
68,"053v2","both","304",39
70,"053v2","both","304",4.75
72,"053v2","both","304",63
74,"053v2","both","304",63
76,"053v2","both","304",61
78,"053v2","both","304",61
80,"053v2","both","304",61
82,"053v2","both","304",66
84,"053v2","both","304",66
86,"053v2","both","304",66
88,"053v2","both","304",66
90,"053v2","both","304",68.25
92,"053v2","both","304",71
94,"053v2","both","304",75
96,"053v2","both","304",77
98,"053v2","both","304",77
100,"053v2","both","304",77
102,"053v2","both","304",77
104,"053v2","both","304",77
106,"053v2","both","304",77
108,"053v2","both","304",77
110,"053v2","both","304",77
112,"053v2","both","304",77
114,"053v2","both","304",77
116,"053v2","both","304",77
118,"053v2","both","304",77
120,"053v2","both","304",77
122,"053v2","both","304",77
124,"053v2","both","304",77
126,"053v2","both","304",80
128,"053v2","both","304",89
130,"053v2","both","304",90
132,"053v2","both","304",90
134,"053v2","both","304",90
136,"053v2","both","304",90
138,"053v2","both","304",90
140,"053v2","both","304",90
142,"053v2","both","304",90
144,"053v2","both","304",91
146,"053v2","both","304",91
148,"053v2","both","304",91
150,"053v2","both","304",91
152,"053v2","both","304",91
154,"053v2","both","304",91
156,"053v2","both","304",91
158,"053v2","both","304",91.5
160,"053v2","both","304",97.5
162,"053v2","both","304",98.25
164,"053v2","both","304",98
166,"053v2","both","304",98
168,"053v2","both","304",98
2,"053v2","both","307",50
4,"053v2","both","307",50
6,"053v2","both","307",50
8,"053v2","both","307",50.75
10,"053v2","both","307",49
12,"053v2","both","307",47.75
14,"053v2","both","307",45.25
16,"053v2","both","307",44.25
18,"053v2","both","307",41.5
20,"053v2","both","307",40
22,"053v2","both","307",40
24,"053v2","both","307",39
26,"053v2","both","307",38
28,"053v2","both","307",37.25
30,"053v2","both","307",35.5
32,"053v2","both","307",33.25
34,"053v2","both","307",30.75
36,"053v2","both","307",29
38,"053v2","both","307",27.5
40,"053v2","both","307",27
42,"053v2","both","307",27
44,"053v2","both","307",26.75
46,"053v2","both","307",25.25
48,"053v2","both","307",24.5
50,"053v2","both","307",24
52,"053v2","both","307",24
54,"053v2","both","307",24
56,"053v2","both","307",24
58,"053v2","both","307",24
60,"053v2","both","307",24
62,"053v2","both","307",24.5
64,"053v2","both","307",25
66,"053v2","both","307",25.75
68,"053v2","both","307",26
70,"053v2","both","307",25.75
72,"053v2","both","307",25
74,"053v2","both","307",25
76,"053v2","both","307",24.25
78,"053v2","both","307",24
80,"053v2","both","307",24
82,"053v2","both","307",24
84,"053v2","both","307",22.5
86,"053v2","both","307",22
88,"053v2","both","307",22
90,"053v2","both","307",22
92,"053v2","both","307",22
94,"053v2","both","307",22
96,"053v2","both","307",22
98,"053v2","both","307",22
100,"053v2","both","307",21.25
102,"053v2","both","307",21
104,"053v2","both","307",21
106,"053v2","both","307",21
108,"053v2","both","307",20.75
110,"053v2","both","307",20.25
112,"053v2","both","307",19.5
114,"053v2","both","307",19
116,"053v2","both","307",19
118,"053v2","both","307",19
120,"053v2","both","307",19
122,"053v2","both","307",19
124,"053v2","both","307",19
126,"053v2","both","307",18.25
128,"053v2","both","307",21.5
130,"053v2","both","307",23
132,"053v2","both","307",23
134,"053v2","both","307",23
136,"053v2","both","307",24.75
138,"053v2","both","307",36
140,"053v2","both","307",54.75
142,"053v2","both","307",56
144,"053v2","both","307",59.75
146,"053v2","both","307",61
148,"053v2","both","307",62.75
150,"053v2","both","307",65
152,"053v2","both","307",65
154,"053v2","both","307",66.25
156,"053v2","both","307",67
158,"053v2","both","307",67
160,"053v2","both","307",67
162,"053v2","both","307",68
164,"053v2","both","307",71
166,"053v2","both","307",72
168,"053v2","both","307",73.5
2,"053v2","both","310",50
4,"053v2","both","310",50
6,"053v2","both","310",51.25
8,"053v2","both","310",45.75
10,"053v2","both","310",44.25
12,"053v2","both","310",43.75
14,"053v2","both","310",42.25
16,"053v2","both","310",42.75
18,"053v2","both","310",44
20,"053v2","both","310",42
22,"053v2","both","310",42
24,"053v2","both","310",41
26,"053v2","both","310",41
28,"053v2","both","310",41
30,"053v2","both","310",40.5
32,"053v2","both","310",39.5
34,"053v2","both","310",44.75
36,"053v2","both","310",47.25
38,"053v2","both","310",45.5
40,"053v2","both","310",46
42,"053v2","both","310",55
44,"053v2","both","310",55
46,"053v2","both","310",55
48,"053v2","both","310",49.5
50,"053v2","both","310",53.25
52,"053v2","both","310",53.75
54,"053v2","both","310",53
56,"053v2","both","310",53
58,"053v2","both","310",53.5
60,"053v2","both","310",54
62,"053v2","both","310",54
64,"053v2","both","310",54.75
66,"053v2","both","310",55
68,"053v2","both","310",55
70,"053v2","both","310",55
72,"053v2","both","310",55
74,"053v2","both","310",55
76,"053v2","both","310",55
78,"053v2","both","310",55
80,"053v2","both","310",54.75
82,"053v2","both","310",57.25
84,"053v2","both","310",58
86,"053v2","both","310",58
88,"053v2","both","310",58
90,"053v2","both","310",58.75
92,"053v2","both","310",59.5
94,"053v2","both","310",60.5
96,"053v2","both","310",62.25
98,"053v2","both","310",63.75
100,"053v2","both","310",61
102,"053v2","both","310",61
104,"053v2","both","310",61
106,"053v2","both","310",59.75
108,"053v2","both","310",57.5
110,"053v2","both","310",56
112,"053v2","both","310",56.5
114,"053v2","both","310",57
116,"053v2","both","310",57.5
118,"053v2","both","310",58.75
120,"053v2","both","310",59.75
122,"053v2","both","310",61
124,"053v2","both","310",61.75
126,"053v2","both","310",64.5
128,"053v2","both","310",73.75
130,"053v2","both","310",75
132,"053v2","both","310",76
134,"053v2","both","310",76
136,"053v2","both","310",76
138,"053v2","both","310",77
140,"053v2","both","310",77
142,"053v2","both","310",76.5
144,"053v2","both","310",76.5
146,"053v2","both","310",77
148,"053v2","both","310",74
150,"053v2","both","310",67.25
