"condition","videoID","time","rating","N","sd"
"audioOnly","053v2",2,50,24,0.255376959227625
"audioOnly","053v2",4,50.0729166666667,24,1.37816664344391
"audioOnly","053v2",6,49.84375,24,4.86492129834907
"audioOnly","053v2",8,48.0625,24,7.66884224015254
"audioOnly","053v2",10,44.8229166666667,24,8.01509417296199
"audioOnly","053v2",12,41.8333333333333,24,7.89078530652198
"audioOnly","053v2",14,39.3333333333333,24,9.00593604562963
"audioOnly","053v2",16,37.8333333333333,24,10.2691143797763
"audioOnly","053v2",18,37.1145833333333,24,11.4162782251701
"audioOnly","053v2",20,37.125,24,12.2201277300661
"audioOnly","053v2",22,34.1458333333333,24,11.3807419016461
"audioOnly","053v2",24,31.84375,24,11.6646559473293
"audioOnly","053v2",26,30.9895833333333,24,10.6156875216809
"audioOnly","053v2",28,29.6979166666667,24,12.1827076233583
"audioOnly","053v2",30,28.71875,24,12.5480191793799
"audioOnly","053v2",32,28.0625,24,12.6693420610886
"audioOnly","053v2",34,29.7395833333333,24,11.2820748473993
"audioOnly","053v2",36,30.8125,24,10.7635783810598
"audioOnly","053v2",38,31.9895833333333,24,10.0232011198222
"audioOnly","053v2",40,32.4479166666667,24,13.9782399150676
"audioOnly","053v2",42,31.8125,24,14.7541906353533
"audioOnly","053v2",44,30.28125,24,14.1277772375527
"audioOnly","053v2",46,29.3229166666667,24,11.311901957929
"audioOnly","053v2",48,30.5208333333333,24,9.90139336556781
"audioOnly","053v2",50,31.59375,24,10.8075588735083
"audioOnly","053v2",52,33.8645833333333,24,12.6772174903289
"audioOnly","053v2",54,35.6145833333333,24,13.9110097089747
"audioOnly","053v2",56,37.6875,24,16.7087015211158
"audioOnly","053v2",58,40.1770833333333,24,20.160427117449
"audioOnly","053v2",60,40.53125,24,20.4389749833392
"audioOnly","053v2",62,41.2395833333333,24,20.2086237466059
"audioOnly","053v2",64,42.9375,24,16.9480103359606
"audioOnly","053v2",66,44.8229166666667,24,14.5610557068195
"audioOnly","053v2",68,47.8229166666667,24,13.9239938295974
"audioOnly","053v2",70,46.5729166666667,24,13.9913558652932
"audioOnly","053v2",72,45.6458333333333,24,11.8008650812839
"audioOnly","053v2",74,44.5416666666667,24,11.7537382274254
"audioOnly","053v2",76,45.40625,24,13.4667086494
"audioOnly","053v2",78,47.0208333333333,24,15.4467733838176
"audioOnly","053v2",80,48.8125,24,17.7548600205078
"audioOnly","053v2",82,49.375,24,17.5943110865045
"audioOnly","053v2",84,48.3333333333333,24,15.9817604370315
"audioOnly","053v2",86,48.6666666666667,24,17.3041316168854
"audioOnly","053v2",88,48.1354166666667,24,16.7340091038701
